names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CR34094,89.73572,1.6491265,0.0,0.0
Dmel_CG41128,69.167206,3.2820773,0.0,0.0
Dmel_CG30425,63.660645,1.2287385,0.0,0.0
Dmel_CG17903,61.401848,1.6134515,0.0,0.0
Dmel_CG9032,60.118313,2.044916,0.0,0.0
Dmel_CR33925,56.439686,1.1899773,0.0,0.0
Dmel_CG43770,55.061874,1.448948,0.0,0.0
Dmel_CG2096,46.777813,1.4013724,0.0,0.0
Dmel_CG10071,46.66678,0.9584444,0.0,0.0
Dmel_CG8989,46.513893,0.8630579,0.0,0.0
Dmel_CG3997,40.766502,0.99855465,0.0,0.0
Dmel_CG12218,39.154247,0.46701258,0.0,0.0
Dmel_CG7646,38.072933,0.9518096,0.0,0.0
Dmel_CG7641,37.338936,1.5622118,3.8337411949453354e-305,2.015167721711066e-302
Dmel_CR34335,36.49199,0.42396212,1.4858703895113816e-291,6.298652512441635e-289
Dmel_CG34418,36.347107,0.87567097,2.9194286412698893e-289,1.198881617966488e-286
Dmel_CG12223,35.837845,0.8487725,2.844040132300817e-281,1.1325312538959102e-278
Dmel_CG14307,35.428402,1.2409719,6.240049978535874e-275,2.342871336226855e-272
Dmel_CG7761,35.062,1.6554959,2.559299127282821e-269,8.623525597852192e-267
Dmel_CG42613,34.749626,0.93244314,1.4040867181044055e-264,4.5002691616121933e-262
Dmel_CG34200,34.71684,1.7527235,4.389035615447482e-264,1.3732456433951276e-261
Dmel_CG4013,34.658096,0.9217928,3.373561055209248e-263,1.0309759494535983e-260
Dmel_CG3001,33.70099,0.804999,5.590921041337607e-249,1.5971802913960325e-246
Dmel_CG14482,32.77823,0.9445553,1.2031109962188117e-235,3.162016320262281e-233
Dmel_CG5099,32.619556,0.86365527,2.1662273975757836e-233,5.581645927753602e-231
Dmel_CG31605,32.09625,0.6873474,4.973547206375767e-226,1.1670961399818564e-223
Dmel_CG9755,31.93189,0.61935717,9.639808485191899e-224,2.1470631068458768e-221
Dmel_CG32498,31.799463,0.6572493,6.584766320707372e-222,1.4421735703402596e-219
Dmel_CG8649,31.757198,0.90777665,2.525939195883769e-221,5.441535569362067e-219
Dmel_CG1268,31.671545,0.83381,3.8309660865945905e-220,8.119794410312825e-218
Dmel_CG1770,31.646067,0.9545537,8.589379830522512e-220,1.7916355611570846e-217
Dmel_CG9748,31.605824,0.8607061,3.070837157441962e-219,6.305292357178878e-217
