names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CR34094,89.73572,1.6491265,0.0,0.0
Dmel_CG41128,69.167206,3.2820773,0.0,0.0
Dmel_CG30425,63.660645,1.2287385,0.0,0.0
Dmel_CG17903,61.401848,1.6134515,0.0,0.0
Dmel_CG9032,60.118313,2.044916,0.0,0.0
Dmel_CR33925,56.439686,1.1899773,0.0,0.0
Dmel_CG43770,55.061874,1.448948,0.0,0.0
Dmel_CG2096,46.777813,1.4013724,0.0,0.0
Dmel_CG7641,37.338936,1.5622118,3.8337411949453354e-305,2.015167721711066e-302
Dmel_CG14307,35.428402,1.2409719,6.240049978535874e-275,2.342871336226855e-272
Dmel_CG7761,35.062,1.6554959,2.559299127282821e-269,8.623525597852192e-267
Dmel_CG34200,34.71684,1.7527235,4.389035615447482e-264,1.3732456433951276e-261
Dmel_CG7134,30.960934,1.3020651,1.810530326901851e-210,3.448141887799598e-208
Dmel_CR33682,30.654455,3.871393,2.3050618060291297e-206,4.1494270127436704e-204
Dmel_CG44774,27.109846,1.0100527,7.53740150310014e-162,1.0766194907852059e-159
Dmel_CG40002,25.363205,2.277913,6.425903470831597e-142,7.747045643137432e-140
Dmel_CG4672,24.978834,1.0293853,1.0383748193940478e-137,1.2075472125360337e-135
Dmel_CG17397,24.317356,2.2937348,1.2846738083483069e-130,1.3837621734020576e-128
Dmel_CG7434,24.09828,1.8239672,2.6057363314683506e-128,2.7176175501448885e-126
Dmel_CR34096,22.877563,2.6360762,7.772386840162855e-116,6.901144288282438e-114
Dmel_CG9390,21.664888,1.1986614,4.399837553874707e-104,3.5041372906343957e-102
Dmel_CR40596,20.841013,2.7699602,1.8390590615910703e-96,1.3426152849093475e-94
Dmel_CG8974,20.238747,1.1421678,4.4636891600464575e-91,3.0392403757601294e-89
Dmel_CG1640,20.138474,1.1114153,3.396378148890224e-90,2.242804284149067e-88
Dmel_CG32544,19.799593,1.0965554,3.001128037529705e-87,1.9052088667235678e-85
Dmel_CR46282,19.020948,2.0331216,1.143947556551032e-80,6.622297286624279e-79
Dmel_CG5282,18.084005,1.2164497,4.259823986610755e-73,2.2038719294508635e-71
Dmel_CG10798,18.009447,1.242608,1.6425940330005839e-72,8.398960384303765e-71
Dmel_CG1411,17.950645,1.1580288,4.743544934582288e-72,2.406753821828025e-70
Dmel_CG31360,16.266598,1.593558,1.703646078715445e-59,7.040129912075366e-58
Dmel_CG9565,15.838667,1.0151954,1.6835135171271461e-56,6.564703598981552e-55
