names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG12223,52.52903,1.1443479,0.0,0.0
Dmel_CG3997,51.22498,1.052495,0.0,0.0
Dmel_CG14482,51.02695,1.2202955,0.0,0.0
Dmel_CG3001,48.85371,1.0340302,0.0,0.0
Dmel_CR34335,45.351326,0.38517496,0.0,0.0
Dmel_CG9748,45.29425,1.0895495,0.0,0.0
Dmel_CG1659,44.069622,1.1753818,0.0,0.0
Dmel_CG30425,43.85336,0.6707705,0.0,0.0
Dmel_CG9659,42.969418,1.0875704,0.0,0.0
Dmel_CG3399,41.926174,1.279568,0.0,0.0
Dmel_CG15304,41.682728,0.9176606,0.0,0.0
Dmel_CG14975,41.58917,1.0531483,0.0,0.0
Dmel_CG14617,41.254517,1.2379405,0.0,0.0
Dmel_CG43770,41.212734,1.0230923,0.0,0.0
Dmel_CG7761,40.343628,1.3356781,0.0,0.0
Dmel_CG11347,39.97223,0.95461285,0.0,0.0
Dmel_CG9034,39.678062,1.0376006,0.0,0.0
Dmel_CG34200,39.480442,1.3043634,0.0,0.0
Dmel_CG14307,38.700806,1.3127718,0.0,0.0
Dmel_CG17124,37.73277,1.047076,0.0,0.0
Dmel_CG31641,37.28548,0.7410779,2.8213145586361414e-304,1.3241033791084834e-301
Dmel_CG9032,36.49882,0.9464428,1.157745476124032e-291,4.907720419918034e-289
Dmel_CG5036,36.186424,0.8172133,9.954361866542027e-287,4.0878209152571494e-284
Dmel_CG8764,35.821457,1.0557901,5.118677104301277e-281,1.921843880789231e-278
Dmel_CG6146,35.8015,1.0323904,1.0467137291035907e-280,3.820795865041746e-278
Dmel_CG4268,35.614887,0.87798077,8.242130822534147e-278,2.9272930037546276e-275
Dmel_CG3779,35.55065,1.0522014,8.118136934825788e-277,2.8073799331722545e-274
Dmel_CG14821,34.07067,0.9998963,2.006015949898702e-254,6.13047804595787e-252
Dmel_CG3421,34.027832,0.9460858,8.637647479944145e-254,2.5797119439533186e-251
Dmel_CG5907,33.74137,1.1234725,1.4308457597355316e-249,4.178387584152138e-247
Dmel_CG1554,32.424217,1.256719,1.2510723435504943e-230,3.223596405215107e-228
Dmel_CG8226,32.10842,0.9331419,3.3634560739785047e-226,8.499841590029141e-224
Dmel_CG14028,31.787668,0.64782673,9.583935625880835e-222,2.332268482587038e-219
