names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG12223,52.52903,1.1443479,0.0,0.0
Dmel_CG3997,51.22498,1.052495,0.0,0.0
Dmel_CG14482,51.02695,1.2202955,0.0,0.0
Dmel_CG3001,48.85371,1.0340302,0.0,0.0
Dmel_CG9748,45.29425,1.0895495,0.0,0.0
Dmel_CG1659,44.069622,1.1753818,0.0,0.0
Dmel_CG9659,42.969418,1.0875704,0.0,0.0
Dmel_CG3399,41.926174,1.279568,0.0,0.0
Dmel_CG14975,41.58917,1.0531483,0.0,0.0
Dmel_CG14617,41.254517,1.2379405,0.0,0.0
Dmel_CG43770,41.212734,1.0230923,0.0,0.0
Dmel_CG7761,40.343628,1.3356781,0.0,0.0
Dmel_CG9034,39.678062,1.0376006,0.0,0.0
Dmel_CG34200,39.480442,1.3043634,0.0,0.0
Dmel_CG14307,38.700806,1.3127718,0.0,0.0
Dmel_CG17124,37.73277,1.047076,0.0,0.0
Dmel_CG8764,35.821457,1.0557901,5.118677104301277e-281,1.921843880789231e-278
Dmel_CG6146,35.8015,1.0323904,1.0467137291035907e-280,3.820795865041746e-278
Dmel_CG3779,35.55065,1.0522014,8.118136934825788e-277,2.8073799331722545e-274
Dmel_CG5907,33.74137,1.1234725,1.4308457597355316e-249,4.178387584152138e-247
Dmel_CG1554,32.424217,1.256719,1.2510723435504943e-230,3.223596405215107e-228
Dmel_CG11129,31.419792,5.4225454,1.0859652423243004e-216,2.460460215410971e-214
Dmel_CG1691,31.259905,1.3845755,1.637640709056839e-214,3.5867060929526536e-212
Dmel_CG8442,30.199535,1.0372002,2.4020243678916333e-200,4.384028085897772e-198
Dmel_CG9086,30.182472,1.1602998,4.023008742919781e-200,7.241966834343677e-198
Dmel_CG31690,29.534351,1.0350407,1.0432056769153608e-191,1.6924402222647848e-189
Dmel_CG8602,29.34097,1.0223289,3.11556375847947e-189,4.816661570609261e-187
Dmel_CG17931,28.852324,1.385754,4.737994164793415e-183,6.841975969181348e-181
Dmel_CG42594,28.76672,1.034519,5.596644454376011e-182,7.994076605973386e-180
Dmel_CG10695,28.457994,1.1513687,3.880439156959227e-178,5.36766852227381e-176
Dmel_CG13364,28.456915,1.0574468,4.0017766225261034e-178,5.477848603814118e-176
Dmel_CG34250,28.30048,1.2541558,3.4091348518227424e-176,4.618499081216769e-174
